'duration','end_of_fade_in','key','loudness','start_of_fade_out','tempo','artist_familiarity','artist_hotttnesss','release_7digitalid','song_hotttnesss'
179.48689,0.241,6,-13.434,161.541,139.947,0.6653363757582451,0.46478647430624304,197020,0.4627689450607072
202.91873,0.131,2,-8.592,188.552,84.069,0.5138327810323408,0.3872251762773809,814256,0.23401644594547466
327.73179,0.398,7,-10.22,321.3,149.853,0.39271030278991514,0.31178940576016817,505296,0.34092275586437804
76.79955,0.327,10,-32.637,67.895,91.249,0.6027669342601268,0.4631928523164855,662608,0.30416950343527516
278.30812,0.353,9,-3.879,266.879,107.053,0.4507431775216858,0.3312149897920565,232971,0.37598430150044215
245.44608,0.729,10,-12.785,235.021,244.366,0.4962914691939757,0.3763493227493786,132728,0.5748828916889209
371.19955,0.165,5,-9.657,364.588,107.886,0.6098197611515211,0.4199679357708968,559847,0.37598430150044215
228.38812,0.0,6,-5.98,225.303,122.988,0.8514176288473655,0.5926149273518344,589319,0.5819871566886738
74.762,0.229,0,-17.712,66.113,83.95,0.6027669342601268,0.4631928523164855,286891,0.0
79.93424,0.258,0,-22.214,76.788,50.059,0.70126070053786,0.41889470470197177,309106,0.6211261170177825
146.02404,0.347,0,-11.693,133.224,133.312,0.620392055892929,0.3906605227228718,60341,0.6412287384848957
678.76526,0.106,11,-4.002,661.333,140.112,0.84775465607329,0.49420685530211234,317615,0.49271363957256076
277.39383,3.408,10,-10.87,271.134,179.987,0.509380155077496,0.35566795638265936,179059,0.46048484498641545
234.9971,0.0,11,-14.835,220.787,137.714,0.3764196108559965,0.20857817378100385,372022,0.3359204786146032
258.19383,2.792,7,-19.933,252.36,92.927,0.7068276713044582,0.4161730646266773,55301,0.3603705827121406
127.4771,0.0,2,-2.445,127.477,161.874,0.6985324766957247,0.5094560008533419,765362,0.6045544849203479
187.92444,0.0,7,-6.984,185.365,210.957,0.6626702064875899,0.3789698005016593,331631,0.5187598979970994
250.77506,0.2,11,-12.198,238.945,88.015,0.6103636444058818,0.0,808634,0.0
277.41995,0.235,8,-9.974,266.832,97.284,0.48008890460867804,0.25874578542510884,821380,0.0
133.3024,0.0,1,-6.02,124.256,137.158,0.48118021177808756,0.37949565056873846,489212,0.0
43.88526,0.113,1,-23.366,43.885,243.195,0.4351050613097062,0.31591901862184224,537210,0.0
273.31873,2.119,2,-6.144,266.699,137.942,0.5941966198984382,0.3759146875867051,146411,0.37598430150044215
